,X1,Y1,X2,Y2,From_ID,To_ID, Edge_ID,Distance_km,Average_speed,Edge_Traffic
11273,29.220995,41.023268,29.220651,41.023197,333.23322,333.22971,666.46293,0.029619704,63,"(333.23322, 333.22971)"
11274,29.220651,41.023197,29.217352,41.022555,333.22971,333.19608,666.42579,0.282938195,65,"(333.22971, 333.19608)"
11275,29.216743,41.02253,29.215813,41.022216,333.18996,333.18035,666.37031,0.08469414,25,"(333.18996, 333.18035)"
11276,29.217389,41.022694,29.217352,41.022555,333.19658,333.19608,666.39266,0.015731659,28,"(333.19658, 333.19608)"
11277,29.217352,41.022555,29.217319,41.02243,333.19608,333.19562,666.3917,0.014142763,64,"(333.19608, 333.19562)"
11278,29.217319,41.02243,29.217285,41.022304,333.19562,333.19515,666.39077,0.014267862,30,"(333.19562, 333.19515)"
11279,29.262382,41.003631,29.261493,41.003803,333.62745,333.61873,667.24618,0.076216966,54,"(333.62745, 333.61873)"
11280,29.267538,41.009416,29.271931,41.011173,333.6848,333.73048,667.41528,0.413500358,54,"(333.6848, 333.73048)"
11281,29.267538,41.009416,29.26732,41.009733,333.6848,333.68293,667.36773,0.039566625,52,"(333.6848, 333.68293)"
11282,29.267007,41.009601,29.267143,41.00932,333.67967,333.68075,667.36042,0.033170731,44,"(333.67967, 333.68075)"
11283,29.267143,41.00932,29.267538,41.009416,333.68075,333.6848,667.36555,0.034473273,15,"(333.68075, 333.6848)"
11284,29.215813,41.022216,29.215948,41.022104,333.18035,333.18158,666.36193,0.016736387,29,"(333.18035, 333.18158)"
11285,29.215948,41.022104,29.216038,41.02203,333.18158,333.18241,666.36399,0.011102734,63,"(333.18158, 333.18241)"
11286,29.216038,41.02203,29.216106,41.021973,333.18241,333.18303,666.36544,0.008478541,31,"(333.18241, 333.18303)"
11287,29.215813,41.022216,29.212796,41.020419,333.18035,333.14838,666.32873,0.320144894,33,"(333.18035, 333.14838)"
11288,29.217389,41.022694,29.216423,41.022801,333.19658,333.18703,666.38361,0.081052914,25,"(333.19658, 333.18703)"
11289,29.212796,41.020419,29.206404,41.01671,333.14838,333.08075,666.22913,0.671538915,85,"(333.14838, 333.08075)"
11290,29.206404,41.01671,29.205356,41.016138,333.08075,333.0697,666.15045,0.107691459,85,"(333.08075, 333.0697)"
11291,29.206589,41.016617,29.212807,41.020281,333.08251,333.14835,666.23086,0.657085352,85,"(333.08251, 333.14835)"
11292,29.216823,41.022204,29.217285,41.022304,333.19043,333.19515,666.38558,0.039920242,49,"(333.19043, 333.19515)"
11293,29.217285,41.022304,29.219808,41.022907,333.19515,333.22099,666.41614,0.219845754,50,"(333.19515, 333.22099)"
11294,29.26732,41.009733,29.267007,41.009601,333.68293,333.67967,667.3626,0.029825988,21,"(333.68293, 333.67967)"
11295,29.216743,41.02253,29.216423,41.022801,333.18996,333.18703,666.37699,0.040128545,29,"(333.18996, 333.18703)"
11296,29.216423,41.022801,29.216322,41.023323,333.18703,333.18654,666.37357,0.058545282,29,"(333.18703, 333.18654)"
11297,29.076302,41.079928,29.076659,41.080075,331.84295,331.84667,663.68962,0.033826626,83,"(331.84295, 331.84667)"
11298,29.080464,41.08115,29.08572,41.084803,331.88579,331.942,663.82779,0.595591119,77,"(331.88579, 331.942)"
11299,29.089265,41.088589,29.088117,41.089129,331.98124,331.9703,663.95154,0.112569286,85,"(331.98124, 331.9703)"
11300,29.088117,41.089129,29.085225,41.087292,331.9703,331.93954,663.90984,0.314952927,85,"(331.9703, 331.93954)"
11301,29.085225,41.087292,29.085444,41.084678,331.93954,331.93912,663.87866,0.290722801,84,"(331.93954, 331.93912)"
11302,29.085444,41.084678,29.080362,41.081206,331.93912,331.88483,663.82395,0.571355664,85,"(331.93912, 331.88483)"
11303,29.076653,41.080245,29.076145,41.08029,331.84678,331.84174,663.68852,0.042458838,85,"(331.84678, 331.84174)"
11304,29.088868,41.089945,29.088117,41.089129,331.97863,331.9703,663.94893,0.109951874,33,"(331.97863, 331.9703)"
11305,29.089097,41.088597,29.091712,41.08729,331.97957,332.00441,663.98398,0.261066788,42,"(331.97957, 332.00441)"
11306,29.094358,41.084648,29.094151,41.085526,332.02823,332.02704,664.05527,0.098960843,45,"(332.02823, 332.02704)"
11307,29.091628,41.089336,29.09192,41.08922,332.00562,332.00842,664.01404,0.027444035,15,"(332.00562, 332.00842)"
11308,29.092014,41.089162,29.092409,41.088605,332.0093,332.0127,664.022,0.06998167,69,"(332.0093, 332.0127)"
11309,29.067891,41.081739,29.068228,41.081451,331.76065,331.76373,663.52438,0.042477404,19,"(331.76065, 331.76373)"
11310,29.068228,41.081451,29.068839,41.080929,331.76373,331.76932,663.53305,0.077000544,29,"(331.76373, 331.76932)"
11311,29.068228,41.081451,29.068383,41.081765,331.76373,331.7656,663.52933,0.037152517,40,"(331.76373, 331.7656)"
11312,29.076653,41.080245,29.076659,41.080075,331.84678,331.84667,663.69345,0.01887657,55,"(331.84678, 331.84667)"
11313,29.080464,41.08115,29.080362,41.081206,331.88579,331.88483,663.77062,0.010502943,17,"(331.88579, 331.88483)"
11314,29.068083,41.093331,29.084207,41.092741,331.77416,331.93481,663.70897,1.339893435,44,"(331.77416, 331.93481)"
11315,29.068839,41.080929,29.069561,41.08011,331.76932,331.77572,663.54504,0.108883294,50,"(331.76932, 331.77572)"
